index,date,pattern,trend,type,signal
8,2024-11-22 00:00:00,Engulfing,Wzrostowa,Kontynuacja wzrostowa,100
9,2024-11-25 00:00:00,Three Outside Up/Down,Wzrostowa,Kontynuacja wzrostowa,100
11,2024-11-27 00:00:00,Spinning Top,Wzrostowa,Kontynuacja wzrostowa,100
11,2024-11-27 00:00:00,Harami,Spadkowa,Kontynuacja spadkowa,-100
15,2024-12-04 00:00:00,Doji,Wzrostowa,Kontynuacja wzrostowa,100
15,2024-12-04 00:00:00,Spinning Top,Wzrostowa,Kontynuacja wzrostowa,100
17,2024-12-06 00:00:00,Doji,Wzrostowa,Kontynuacja wzrostowa,100
17,2024-12-06 00:00:00,Spinning Top,Spadkowa,Kontynuacja spadkowa,-100
18,2024-12-09 00:00:00,Engulfing,Wzrostowa,Kontynuacja wzrostowa,100
19,2024-12-10 00:00:00,Three Outside Up/Down,Wzrostowa,Kontynuacja wzrostowa,100
20,2024-12-11 00:00:00,Engulfing,Spadkowa,Kontynuacja spadkowa,-100
22,2024-12-13 00:00:00,Doji,Wzrostowa,Kontynuacja wzrostowa,100
22,2024-12-13 00:00:00,Spinning Top,Wzrostowa,Kontynuacja wzrostowa,100
23,2024-12-16 00:00:00,Marubozu,Wzrostowa,Kontynuacja wzrostowa,100
28,2024-12-23 00:00:00,Hanging Man,Spadkowa,Odwrócenie spadkowe,-100
29,2024-12-24 00:00:00,Marubozu,Wzrostowa,Kontynuacja wzrostowa,100
32,2024-12-30 00:00:00,Doji,Wzrostowa,Kontynuacja wzrostowa,100
32,2024-12-30 00:00:00,Spinning Top,Spadkowa,Kontynuacja spadkowa,-100
35,2025-01-03 00:00:00,Doji,Wzrostowa,Kontynuacja wzrostowa,100
35,2025-01-03 00:00:00,Spinning Top,Wzrostowa,Kontynuacja wzrostowa,100
36,2025-01-06 00:00:00,Spinning Top,Wzrostowa,Kontynuacja wzrostowa,100
37,2025-01-07 00:00:00,Spinning Top,Spadkowa,Kontynuacja spadkowa,-100
